"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100",0.869346733668342,0.896373056994819,0.88265306122449,0.813084112149533,0.769911504424779,0.790909090909091,0.849673202614379,0.873417721518987,0.951724137931034,0.910891089108911,0.865384615384615,0.692307692307692,0.769230769230769,0.871428571428571
"200",0.876288659793814,0.880829015544041,0.878552971576227,0.794642857142857,0.787610619469027,0.791111111111111,0.84640522875817,0.866242038216561,0.937931034482759,0.900662251655629,0.830188679245283,0.676923076923077,0.745762711864407,0.857142857142857
"300",0.897435897435897,0.906735751295337,0.902061855670103,0.837837837837838,0.823008849557522,0.830357142857143,0.875816993464052,0.865384615384615,0.931034482758621,0.897009966777409,0.814814814814815,0.676923076923077,0.739495798319328,0.852380952380952
"400",0.912371134020619,0.917098445595855,0.914728682170543,0.857142857142857,0.849557522123894,0.853333333333333,0.892156862745098,0.874213836477987,0.958620689655172,0.914473684210526,0.882352941176471,0.692307692307692,0.775862068965517,0.876190476190476
"500",0.907692307692308,0.917098445595855,0.912371134020619,0.855855855855856,0.84070796460177,0.848214285714286,0.888888888888889,0.890322580645161,0.951724137931034,0.92,0.872727272727273,0.738461538461539,0.8,0.885714285714286
"600",0.903553299492386,0.922279792746114,0.912820512820513,0.862385321100917,0.831858407079646,0.846846846846847,0.888888888888889,0.890322580645161,0.951724137931034,0.92,0.872727272727273,0.738461538461539,0.8,0.885714285714286
"700",0.904040404040404,0.927461139896373,0.915601023017903,0.87037037037037,0.831858407079646,0.850678733031674,0.892156862745098,0.884615384615385,0.951724137931034,0.916943521594684,0.87037037037037,0.723076923076923,0.789915966386555,0.880952380952381
"800",0.899497487437186,0.927461139896373,0.913265306122449,0.869158878504673,0.823008849557522,0.845454545454545,0.888888888888889,0.879746835443038,0.958620689655172,0.917491749174917,0.884615384615385,0.707692307692308,0.786324786324786,0.880952380952381
"900",0.91,0.94300518134715,0.926208651399491,0.89622641509434,0.84070796460177,0.867579908675799,0.905228758169935,0.879746835443038,0.958620689655172,0.917491749174917,0.884615384615385,0.707692307692308,0.786324786324786,0.880952380952381
"1000",0.909547738693467,0.937823834196891,0.923469387755102,0.88785046728972,0.84070796460177,0.863636363636364,0.901960784313726,0.879746835443038,0.958620689655172,0.917491749174917,0.884615384615385,0.707692307692308,0.786324786324786,0.880952380952381
"1100",0.909547738693467,0.937823834196891,0.923469387755102,0.88785046728972,0.84070796460177,0.863636363636364,0.901960784313726,0.884615384615385,0.951724137931034,0.916943521594684,0.87037037037037,0.723076923076923,0.789915966386555,0.880952380952381
"1200",0.905,0.937823834196891,0.921119592875318,0.886792452830189,0.831858407079646,0.858447488584475,0.898692810457516,0.885350318471338,0.958620689655172,0.920529801324503,0.886792452830189,0.723076923076923,0.796610169491525,0.885714285714286
"1300",0.900497512437811,0.937823834196891,0.918781725888325,0.885714285714286,0.823008849557522,0.853211009174312,0.895424836601307,0.878205128205128,0.944827586206897,0.910299003322259,0.851851851851852,0.707692307692308,0.773109243697479,0.871428571428571
"1400",0.900497512437811,0.937823834196891,0.918781725888325,0.885714285714286,0.823008849557522,0.853211009174312,0.895424836601307,0.883870967741936,0.944827586206897,0.913333333333333,0.854545454545454,0.723076923076923,0.783333333333333,0.876190476190476
"1500",0.900497512437811,0.937823834196891,0.918781725888325,0.885714285714286,0.823008849557522,0.853211009174312,0.895424836601307,0.879746835443038,0.958620689655172,0.917491749174917,0.884615384615385,0.707692307692308,0.786324786324786,0.880952380952381
"1600",0.90547263681592,0.94300518134715,0.923857868020305,0.895238095238095,0.831858407079646,0.862385321100917,0.901960784313726,0.874213836477987,0.958620689655172,0.914473684210526,0.882352941176471,0.692307692307692,0.775862068965517,0.876190476190476
"1700",0.905940594059406,0.948186528497409,0.926582278481013,0.903846153846154,0.831858407079646,0.866359447004608,0.905228758169935,0.880503144654088,0.96551724137931,0.921052631578947,0.901960784313726,0.707692307692308,0.793103448275862,0.885714285714286
"1800",0.90547263681592,0.94300518134715,0.923857868020305,0.895238095238095,0.831858407079646,0.862385321100917,0.901960784313726,0.875,0.96551724137931,0.918032786885246,0.9,0.692307692307692,0.782608695652174,0.880952380952381
"1900",0.90547263681592,0.94300518134715,0.923857868020305,0.895238095238095,0.831858407079646,0.862385321100917,0.901960784313726,0.869565217391304,0.96551724137931,0.915032679738562,0.897959183673469,0.676923076923077,0.771929824561404,0.876190476190476
"2000",0.91,0.94300518134715,0.926208651399491,0.89622641509434,0.84070796460177,0.867579908675799,0.905228758169935,0.869565217391304,0.96551724137931,0.915032679738562,0.897959183673469,0.676923076923077,0.771929824561404,0.876190476190476
"2100",0.91,0.94300518134715,0.926208651399491,0.89622641509434,0.84070796460177,0.867579908675799,0.905228758169935,0.869565217391304,0.96551724137931,0.915032679738562,0.897959183673469,0.676923076923077,0.771929824561404,0.876190476190476
"2200",0.91,0.94300518134715,0.926208651399491,0.89622641509434,0.84070796460177,0.867579908675799,0.905228758169935,0.869565217391304,0.96551724137931,0.915032679738562,0.897959183673469,0.676923076923077,0.771929824561404,0.876190476190476
"2300",0.900990099009901,0.94300518134715,0.921518987341772,0.894230769230769,0.823008849557522,0.857142857142857,0.898692810457516,0.864197530864197,0.96551724137931,0.912052117263844,0.895833333333333,0.661538461538462,0.761061946902655,0.871428571428571
"2400",0.901477832512315,0.948186528497409,0.924242424242424,0.902912621359223,0.823008849557522,0.861111111111111,0.901960784313726,0.864197530864197,0.96551724137931,0.912052117263844,0.895833333333333,0.661538461538462,0.761061946902655,0.871428571428571
"2500",0.905940594059406,0.948186528497409,0.926582278481013,0.903846153846154,0.831858407079646,0.866359447004608,0.905228758169935,0.858895705521472,0.96551724137931,0.909090909090909,0.893617021276596,0.646153846153846,0.75,0.866666666666667
"2600",0.901477832512315,0.948186528497409,0.924242424242424,0.902912621359223,0.823008849557522,0.861111111111111,0.901960784313726,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"2700",0.901477832512315,0.948186528497409,0.924242424242424,0.902912621359223,0.823008849557522,0.861111111111111,0.901960784313726,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"2800",0.90547263681592,0.94300518134715,0.923857868020305,0.895238095238095,0.831858407079646,0.862385321100917,0.901960784313726,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"2900",0.90547263681592,0.94300518134715,0.923857868020305,0.895238095238095,0.831858407079646,0.862385321100917,0.901960784313726,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"3000",0.90547263681592,0.94300518134715,0.923857868020305,0.895238095238095,0.831858407079646,0.862385321100917,0.901960784313726,0.858895705521472,0.96551724137931,0.909090909090909,0.893617021276596,0.646153846153846,0.75,0.866666666666667
"3100",0.91044776119403,0.948186528497409,0.928934010152284,0.904761904761905,0.84070796460177,0.871559633027523,0.908496732026144,0.858895705521472,0.96551724137931,0.909090909090909,0.893617021276596,0.646153846153846,0.75,0.866666666666667
"3200",0.91044776119403,0.948186528497409,0.928934010152284,0.904761904761905,0.84070796460177,0.871559633027523,0.908496732026144,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"3300",0.91044776119403,0.948186528497409,0.928934010152284,0.904761904761905,0.84070796460177,0.871559633027523,0.908496732026144,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"3400",0.915,0.948186528497409,0.931297709923664,0.905660377358491,0.849557522123894,0.876712328767123,0.911764705882353,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"3500",0.915,0.948186528497409,0.931297709923664,0.905660377358491,0.849557522123894,0.876712328767123,0.911764705882353,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"3600",0.915,0.948186528497409,0.931297709923664,0.905660377358491,0.849557522123894,0.876712328767123,0.911764705882353,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"3700",0.915,0.948186528497409,0.931297709923664,0.905660377358491,0.849557522123894,0.876712328767123,0.911764705882353,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"3800",0.915,0.948186528497409,0.931297709923664,0.905660377358491,0.849557522123894,0.876712328767123,0.911764705882353,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"3900",0.91044776119403,0.948186528497409,0.928934010152284,0.904761904761905,0.84070796460177,0.871559633027523,0.908496732026144,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"4000",0.905940594059406,0.948186528497409,0.926582278481013,0.903846153846154,0.831858407079646,0.866359447004608,0.905228758169935,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
