"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100_3",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"200_3",0.634868421052632,1,0.776659959758551,1,0.0176991150442478,0.0347826086956522,0.637254901960784,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"300_3",0.660958904109589,1,0.795876288659794,1,0.123893805309735,0.220472440944882,0.676470588235294,0.697115384615385,1,0.821529745042493,1,0.0307692307692308,0.0597014925373134,0.7
"400_3",0.673684210526316,0.994818652849741,0.803347280334728,0.952380952380952,0.176991150442478,0.298507462686567,0.69281045751634,0.697115384615385,1,0.821529745042493,1,0.0307692307692308,0.0597014925373134,0.7
"500_3",0.68705035971223,0.989637305699482,0.81104033970276,0.928571428571429,0.230088495575221,0.368794326241135,0.709150326797386,0.70048309178744,1,0.823863636363636,1,0.0461538461538462,0.0882352941176471,0.704761904761905
"600_3",0.683453237410072,0.984455958549223,0.806794055201699,0.892857142857143,0.221238938053097,0.354609929078014,0.702614379084967,0.703883495145631,1,0.826210826210826,1,0.0615384615384615,0.115942028985507,0.70952380952381
"700_3",0.693430656934307,0.984455958549223,0.813704496788008,0.90625,0.256637168141593,0.4,0.715686274509804,0.707317073170732,1,0.828571428571429,1,0.0769230769230769,0.142857142857143,0.714285714285714
"800_3",0.7,0.979274611398964,0.816414686825054,0.888888888888889,0.283185840707965,0.429530201342282,0.722222222222222,0.707317073170732,1,0.828571428571429,1,0.0769230769230769,0.142857142857143,0.714285714285714
"900_3",0.704119850187266,0.974093264248705,0.817391304347826,0.871794871794872,0.300884955752212,0.447368421052632,0.725490196078431,0.707317073170732,1,0.828571428571429,1,0.0769230769230769,0.142857142857143,0.714285714285714
"1000_3",0.720306513409962,0.974093264248705,0.828193832599119,0.888888888888889,0.353982300884956,0.506329113924051,0.745098039215686,0.717821782178218,1,0.835734870317003,1,0.123076923076923,0.219178082191781,0.728571428571429
"1100_3",0.734375,0.974093264248705,0.837416481069042,0.9,0.398230088495575,0.552147239263804,0.761437908496732,0.721393034825871,1,0.838150289017341,1,0.138461538461538,0.243243243243243,0.733333333333333
"1200_3",0.723076923076923,0.974093264248705,0.830022075055188,0.891304347826087,0.36283185840708,0.515723270440252,0.748366013071895,0.717821782178218,1,0.835734870317003,1,0.123076923076923,0.219178082191781,0.728571428571429
"1300_3",0.746031746031746,0.974093264248705,0.844943820224719,0.907407407407407,0.433628318584071,0.586826347305389,0.774509803921569,0.728643216080402,1,0.843023255813954,1,0.169230769230769,0.289473684210526,0.742857142857143
"1400_3",0.752,0.974093264248705,0.848758465011287,0.910714285714286,0.451327433628319,0.603550295857988,0.781045751633987,0.728643216080402,1,0.843023255813954,1,0.169230769230769,0.289473684210526,0.742857142857143
"1500_3",0.752,0.974093264248705,0.848758465011287,0.910714285714286,0.451327433628319,0.603550295857988,0.781045751633987,0.732323232323232,1,0.845481049562682,1,0.184615384615385,0.311688311688312,0.747619047619048
"1600_3",0.752,0.974093264248705,0.848758465011287,0.910714285714286,0.451327433628319,0.603550295857988,0.781045751633987,0.732323232323232,1,0.845481049562682,1,0.184615384615385,0.311688311688312,0.747619047619048
"1700_3",0.752,0.974093264248705,0.848758465011287,0.910714285714286,0.451327433628319,0.603550295857988,0.781045751633987,0.736040609137056,1,0.847953216374269,1,0.2,0.333333333333333,0.752380952380952
