"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100_3",0.87192118226601,0.917098445595855,0.893939393939394,0.844660194174757,0.769911504424779,0.805555555555555,0.862745098039216,0.869565217391304,0.96551724137931,0.915032679738562,0.897959183673469,0.676923076923077,0.771929824561404,0.876190476190476
"200_3",0.872549019607843,0.922279792746114,0.896725440806045,0.852941176470588,0.769911504424779,0.809302325581395,0.866013071895425,0.869565217391304,0.96551724137931,0.915032679738562,0.897959183673469,0.676923076923077,0.771929824561404,0.876190476190476
"300_3",0.866336633663366,0.906735751295337,0.886075949367089,0.826923076923077,0.761061946902655,0.792626728110599,0.852941176470588,0.864197530864197,0.96551724137931,0.912052117263844,0.895833333333333,0.661538461538462,0.761061946902655,0.871428571428571
"400_3",0.863414634146341,0.917098445595855,0.889447236180904,0.841584158415842,0.752212389380531,0.794392523364486,0.856209150326797,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"500_3",0.868932038834951,0.927461139896373,0.897243107769423,0.86,0.761061946902655,0.807511737089202,0.866013071895425,0.864197530864197,0.96551724137931,0.912052117263844,0.895833333333333,0.661538461538462,0.761061946902655,0.871428571428571
"600_3",0.862068965517241,0.906735751295337,0.883838383838384,0.825242718446602,0.752212389380531,0.787037037037037,0.849673202614379,0.858895705521472,0.96551724137931,0.909090909090909,0.893617021276596,0.646153846153846,0.75,0.866666666666667
"700_3",0.862068965517241,0.906735751295337,0.883838383838384,0.825242718446602,0.752212389380531,0.787037037037037,0.849673202614379,0.858895705521472,0.96551724137931,0.909090909090909,0.893617021276596,0.646153846153846,0.75,0.866666666666667
"800_3",0.862068965517241,0.906735751295337,0.883838383838384,0.825242718446602,0.752212389380531,0.787037037037037,0.849673202614379,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"900_3",0.862068965517241,0.906735751295337,0.883838383838384,0.825242718446602,0.752212389380531,0.787037037037037,0.849673202614379,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"1000_3",0.857843137254902,0.906735751295337,0.881612090680101,0.823529411764706,0.743362831858407,0.781395348837209,0.84640522875817,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
"1100_3",0.862068965517241,0.906735751295337,0.883838383838384,0.825242718446602,0.752212389380531,0.787037037037037,0.849673202614379,0.853658536585366,0.96551724137931,0.906148867313916,0.891304347826087,0.630769230769231,0.738738738738739,0.861904761904762
"1200_3",0.860696517412935,0.896373056994819,0.878172588832487,0.80952380952381,0.752212389380531,0.779816513761468,0.843137254901961,0.843373493975904,0.96551724137931,0.90032154340836,0.886363636363636,0.6,0.715596330275229,0.852380952380952
"1300_3",0.862068965517241,0.906735751295337,0.883838383838384,0.825242718446602,0.752212389380531,0.787037037037037,0.849673202614379,0.848484848484849,0.96551724137931,0.903225806451613,0.888888888888889,0.615384615384615,0.727272727272727,0.857142857142857
