"","CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","ABSTRACT","ISSN","KEYWORDS","URL","ISBN","DOI","code","duplicate"
"1","ARTICLE",NA,NA,NA,"John H. FlowersTerry A. Hauer",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"2",NA,NA,NA,NA,NA,"‚Äúsound‚Äù alternatives to visual graphics for exploratory data analysis",NA,"25",1993,"Efficient exploratory data analysis (EDA) may be aided by succinct, but informative, graphical representations (e.g., Tukey plots) that convey information about central tendency, variability, and shape of distributions, and that permit detection of outliers. Using research strategies adapted from studies of cross-modal perceptual equivalence, we show how auditory analogies of such displays may offer an effective alternative to visual plots for EDA.",NA,"KeywordsCentral Tendency Exploratory Data Analysis Visual Graphic Auditory Presentation Auditory Display ","http://link.springer.com/article/10.3758/BF03204505",NA,"10.3758/BF03204505","No",TRUE
"2","ARTICLE",NA,NA,NA,"Doris Aaronson",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"2",NA,NA,NA,NA,NA,"1980 dec users‚Äô group report",NA,"13",1981,"The 1980 meeting of users/owners of Digital Equipment Corporation (DEC) computer equipment is discussed.",NA,"KeywordsDelivery Time Digital Equipment Corpus National Office Software Side Life Science Application ","http://link.springer.com/article/10.3758/BF03207946",NA,"10.3758/BF03207946","No",TRUE
"3","ARTICLE",NA,NA,NA,"Roger D. Ray",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"2",NA,NA,NA,NA,NA,"a behavioral systems approach to adaptive computerized instructional design",NA,"27",1995,"A computerized multimedia instructional system has been developed that adheres to behavioral systems principles for presenting both adaptive programmed instructional materials and laboratory simulations. This instructional software system, called MediaMatrix, is both an authoring environment and a presentation vehicle that adapts the complexity of presentations in real time to changes in a student’s current rate of progress. It incorporates an automated knowledge-generation system that tracks all interactions between the user and any instructional objects within the system. Such knowledge is used both for a research database and for an artificial-intelligence engine that constructs an estimate ofconcept association networks (Verplanck, 1992a). Such networks reflect a learner’s developing knowledge and skill base, and may be used for tutorial advising during student use.",NA,"KeywordsAssociation Network Instructional System Behavioral System Approach Behavioral System Instructional Object ","http://link.springer.com/article/10.3758/BF03204749",NA,"10.3758/BF03204749","No",TRUE
"4","ARTICLE",NA,NA,NA,"Franziska GeringswaldFlorian Johannes BaumgartnerStefan Pollmann",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a behavioral task for the validation of a gaze-contingent simulated scotoma",NA,"45",2013,"Gaze-contingent displays provide a valuable method in visual research for controlling visual input and investigating its visual and cognitive processing. Although the body of research using gaze-contingent retinal stabilization techniques has grown considerably during the last decade, only few studies have been concerned with the reliability of the specific real-time simulations applied. Using a Landolt ring discrimination task, we present a behavioral validation of gaze-contingent central scotoma simulation in healthy observers. Importantly, behavioral testing is necessary to show whether the simulation impairs foveal processing of visual information. This test becomes even more crucial when researchers are faced with null results in a task performed with the scotoma, as compared with a control condition. It must be ruled out that the lack of behavioral effects results from a type II error caused by improper implementation before conclusions about foveal contributions to the given task may be drawn. In our experiment, the scotoma effectively prevented foveal processing of the visual stimuli, leading to significantly reduced response accuracies, as compared with unimpaired vision. Moreover, the final fixation at the time of the participants’ responses was placed close to the target position in the unimpaired condition, whereas the distance to the target was enhanced with the scotoma, indicating that the observers were not able to discriminate visual target stimuli from distractors, due to the scotoma. The present work presents a validated behavioral testing method for the efficiency of gaze-contingent scotoma simulations, including code for implementation. In addition, solutions for common methodological problems are discussed.",NA,"KeywordsGaze-contingent display Artificial scotoma Scotoma validation Scotoma simulation ","http://link.springer.com/article/10.3758/s13428-013-0321-6",NA,"10.3758/s13428-013-0321-6","No",TRUE
"5","ARTICLE",NA,NA,NA,"Michael KruepkeErin K. MolloyKonrad BresinAron K. BarbeyEdelyn Verona",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"a brief assessment tool for investigating facets of moral judgment from realistic vignettes",NA,"50",2018,"Humans make moral judgments every day, and research demonstrates that these evaluations are based on a host of related event features (e.g., harm, legality). In order to acquire systematic data on how moral judgments are made, our assessments need to be expanded to include real-life, ecologically valid stimuli that take into account the numerous event features that are known to influence moral judgment. To facilitate this, Knutson et al. (in Social Cognitive and Affective Neuroscience, 5(4), 378–384, 2010) developed vignettes based on real-life episodic memories rated concurrently on key moral features; however, the method is time intensive (~1.4–3.4 h) and the stimuli and ratings require further validation and characterization. The present study addresses these limitations by: (i) validating three short subsets of these vignettes (39 per subset) that are time-efficient (10–25 min per subset) yet representative of the ratings and factor structure of the full set, (ii) norming ratings of moral features in a larger sample (total N = 661, each subset N = ~220 vs. Knutson et al. N = 30), (iii) examining the generalizability of the original factor structure by replicating it in a larger sample across vignette subsets, sex, and political ideology, and (iv) using latent profile analysis to empirically characterize vignette groupings based on event feature ratings profiles and vignette content. This study therefore provides researchers with a core battery of well-characterized and realistic vignettes, concurrently rated on key moral features that can be administered in a brief, time-efficient manner to advance research on the nature of moral judgment.",NA,"KeywordsMoral judgment Vignette Moral Assessment Sex ","http://link.springer.com/article/10.3758/s13428-017-0917-3",NA,"10.3758/s13428-017-0917-3","No",TRUE
"6","ARTICLE",NA,NA,NA,"David L. NeumannPatrick R. Thomas",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"a camera-based scoring system for evaluating performance accuracy during a golf putting task",NA,"40",2008,"Golf putting accuracy is often evaluated by measuring the distance that the ball finishes from the hole. However, accuracy is a function of line and length, and distance-from-hole measures confound these two factors. A scoring system for evaluating putting accuracy is described that enables the efficient measurement of errors in line and length. A camera placed above the hole takes digital photographs of the final position of the ball. A custom-developed program written in the National Instruments LabVIEW graphical programming language derives a variety of accuracy measures from these photographs, including distance from the hole, angle of error, distance short or long from the hole, and distance left or right from the hole. Evaluation of the system indicated that the measures were as accurate as manual measurements and were reliable when rescored on separate occasions. The camera-based scoring system presents a number of advantages in the evaluation of putting accuracy and may be extended to examine performance in other sports. The ScorePutting program may be downloaded from the Psychonomic Society’s Archive of Norms, Stimuli, and Data, www.psychonomic.org/archive.",NA,"KeywordsDigital Photograph Calibration Object Target Hole Basketball Shooting Calibration Photograph ","http://link.springer.com/article/10.3758/BRM.40.3.892",NA,"10.3758/BRM.40.3.892","No",TRUE
"7","ARTICLE",NA,NA,NA,"Alexandra C. ConstantinescuMaria WoltersAdam MooreSarah E. MacPherson",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"a cluster-based approach to selecting representative stimuli from the international affective picture system (iaps) database",NA,"49",2017,"The International Affective Picture System (IAPS; Lang, Bradley, & Cuthbert, 2008) is a stimulus database that is frequently used to investigate various aspects of emotional processing. Despite its extensive use, selecting IAPS stimuli for a research project is not usually done according to an established strategy, but rather is tailored to individual studies. Here we propose a standard, replicable method for stimulus selection based on cluster analysis, which re-creates the group structure that is most likely to have produced the valence arousal, and dominance norms associated with the IAPS images. Our method includes screening the database for outliers, identifying a suitable clustering solution, and then extracting the desired number of stimuli on the basis of their level of certainty of belonging to the cluster they were assigned to. Our method preserves statistical power in studies by maximizing the likelihood that the stimuli belong to the cluster structure fitted to them, and by filtering stimuli according to their certainty of cluster membership. In addition, although our cluster-based method is illustrated using the IAPS, it can be extended to other stimulus databases.",NA,"KeywordsIAPS International affective picture system Cluster analysis Stimulus selection Emotion ","http://link.springer.com/article/10.3758/s13428-016-0750-0",NA,"10.3758/s13428-016-0750-0","No",TRUE
"8","ARTICLE",NA,NA,NA,"Joseph R. RauschKen Kelley",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"1",NA,NA,NA,NA,NA,"a comparison of linear and mixture models for discriminant analysis under nonnormality",NA,"41",2009,"Methods for discriminant analysis were compared with respect to classification accuracy under nonnormality through Monte Carlo simulation. The methods compared were linear discriminant analyses based both on raw scores and on ranks; linear logistic discrimination; and mixture discriminant analysis. Linear discriminant analysis and linear logistic discrimination were suboptimal in a number of scenarios with skewed predictors. Linear discriminant analysis based on ranks yielded the highest rates of classification accuracy in only a limited number of situations and did not produce a practically important advantage over competing methods. Mixture discriminant analysis, with a relatively small number of components in each group, attained relatively high rates of classification accuracy and was most useful for conditions in which skewed predictors had relatively small values of kurtosis.",NA,"KeywordsDiscriminant Analysis Classification Accuracy Linear Discriminant Analysis Marginal Distribution Monte Carlo Study ","http://link.springer.com/article/10.3758/BRM.41.1.85",NA,"10.3758/BRM.41.1.85","No",TRUE
"9","ARTICLE",NA,NA,NA,"Trefford Lee Simpson",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"a comparison of six methods to estimate thresholds from psychometric functions",NA,"27",1995,"There are many ways in which to estimate thresholds from psychometric functions. However, almost nothing is known about the relationships between these estimates. In the present experiment, Monte Carlo techniques were used to compare psychometric thresholds obtained using six methods. Three psychometric functions were simulated using Naka-Rushton and Weibull functions and a probit/logit function combination. Thresholds were estimated using probit, logit, and normit analyses and least-squares regressions of untransformed orz-score and logit-transformed probabilities versus stimulus strength. Histograms were derived from 100 thresholds using each of the six methods for various sampling strategies of each psychometric function. Thresholds from probit, logit, and normit analyses were remarkably similar. Thresholds fromz-score- and logit-transformed regressions were more variable, and linear regression produced biased threshold estimates under some circumstances. Considering the similarity of thresholds, the speed of computation, and the ease of implementation, logit and normit analyses provide effective alternatives to the current “gold standard”—probit analysis—for the estimation of psychometric thresholds.",NA,"KeywordsLogit Regression Psychometric Function Probit Analysis Threshold Estimate Lower Graph ","http://link.springer.com/article/10.3758/BF03200444",NA,"10.3758/BF03200444","No",TRUE
"10","ARTICLE",NA,NA,NA,"Patrick ConleyCurt Burgess",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"2",NA,NA,NA,NA,NA,"a computational approach to modeling population differences",NA,"32",2000,"Four experiments were conducted to determine whether the Hyperspace Analogue to Language (HAL) model of semantic memory could differentiate between two different populations. An analysis of the differences in densities (or average distances between word neighbors in semantic space) in HAL matrices—generated from text corpora derived from younger and older adults—confirmed that HAL was able to distinguish between the two age groups. This difference was again detected when structured interview data were used to build the corpora. A third experiment, designed to test the specificity of HAL in detecting differences between groups, did not detect any difference in the densities of the memory representations when older adults generated both the test corpora. The final experiment, conducted on the language of adults with Alzheimer’s and normal adults, again demonstrated that HAL could discriminate between the two populations. These results suggest that HAL is capable of modeling, on the basis of changes in mean density, some of the differences between populations without modifying the model itself but, rather, by changing the text corpus from which the model creates its representations in semantic space.",NA,"KeywordsMemory Representation Dyslexia Semantic Space Text Corpus Common Noun ","http://link.springer.com/article/10.3758/BF03207795",NA,"10.3758/BF03207795","No",TRUE
