Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"NORM : A subroutine for updating the norms of a reference group","Behavior Research Methods & Instrumentation","","12","3","10.3758/BF03201680","Norval F. PohlSan-yun W. Tsai","1980","http://link.springer.com/article/10.3758/BF03201680","Article"
"Erratum to: Free associate norms for 139 European Portuguese words for children from different age groups","Behavior Research Methods","","46","2","10.3758/s13428-013-0437-8","Montserrat ComesañaIsabel FragaAna Júlia MoreiraCarla Sofia FradeAna Paula Soares","2014","http://link.springer.com/article/10.3758/s13428-013-0437-8","Article"
"Erratum to: Semantic memory: A feature-based analysis and new norms for Italian","Behavior Research Methods","","45","2","10.3758/s13428-012-0291-0","Maria MontefineseEttore AmbrosiniBeth FairfieldNicola Mammarella","2013","http://link.springer.com/article/10.3758/s13428-012-0291-0","Article"
"Phonemic and semantic generation norms","Behavior Research Methods & Instrumentation","","15","1","10.3758/BF03203459","Keith D. Horton","1983","http://link.springer.com/article/10.3758/BF03203459","Article"
"Lexical development norms for young children","Behavior Research Methods, Instruments, & Computers","","28","1","10.3758/BF03203646","Philip S. DaleLarry Fenson","1996","http://link.springer.com/article/10.3758/BF03203646","Article"
"Fourth and fifth grade norms for verbal items in six categories","Behavior Research Methods & Instrumentation","","7","3","10.3758/BF03201471","","1975","http://link.springer.com/article/10.3758/BF03201471","Article"
"Withstanding the test of time: The 1978 semantic word norms","Behavior Research Methods","","41","2","10.3758/BRM.41.2.531","Michael P. Toglia","2009","http://link.springer.com/article/10.3758/BRM.41.2.531","Article"
"Erratum to: Subjective age-of-acquisition norms for 600 Turkish words from four age groups","Behavior Research Methods","","49","5","10.3758/s13428-017-0914-6","İlyas GözAli İ. TekcanAslı Aktan Erciyes","2017","http://link.springer.com/article/10.3758/s13428-017-0914-6","Article"
"French categorization norms for 70 semantic categories and comparison with Van Overschelde et al.’s (2004) English norms","Behavior Research Methods","","41","4","10.3758/BRM.41.4.1018","Steve BuenoHakima Megherbi","2009","http://link.springer.com/article/10.3758/BRM.41.4.1018","Article"
"Semantic feature production norms for a large set of living and nonliving things","Behavior Research Methods","","37","4","10.3758/BF03192726","Ken McRaeGeorge S. CreeMark S. SeidenbergChris Mcnorgan","2005","http://link.springer.com/article/10.3758/BF03192726","Article"
"Index of norms and ratings published in the Psychonomic Society journals","Behavior Research Methods, Instruments, & Computers","","31","4","10.3758/BF03200742","Robert W. ProctorKim-Phuong L. Vu","1999","http://link.springer.com/article/10.3758/BF03200742","Article"
"The Bristol norms for age of acquisition, imageability, and familiarity","Behavior Research Methods","","38","4","10.3758/BF03193891","Hans Stadthagen-GonzalezColin J. Davis","2006","http://link.springer.com/article/10.3758/BF03193891","Article"
"The Glasgow Norms: Ratings of 5,500 words on nine scales","Behavior Research Methods","","51","3","10.3758/s13428-018-1099-3","Graham G. ScottAnne KeitelMarc BecirspahicBo YaoSara C. Sereno","2019","http://link.springer.com/article/10.3758/s13428-018-1099-3","Article"
"Extensions of the Paivio, Yuille, and Madigan (1968) norms","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195584","James M. ClarkAllan Paivio","2004","http://link.springer.com/article/10.3758/BF03195584","Article"
"Using the World-Wide Web to obtain large-scale word norms: 190,212 ratings on a set of 2,654 German nouns","Behavior Research Methods","","41","1","10.3758/BRM.41.1.13","Olaf LahlAnja S. GöritzReinhard PietrowskyJessica Rosenberg","2009","http://link.springer.com/article/10.3758/BRM.41.1.13","Article"
"A database of associative strengths from the strength-sampling model: A theory-based supplement to the Nelson, McEvoy, and Schreiber word association norms","Behavior Research Methods","","40","1","10.3758/BRM.40.1.232","William S. Maki","2008","http://link.springer.com/article/10.3758/BRM.40.1.232","Article"
"Age-of-acquisition norms for a set of 1,749 Portuguese words","Behavior Research Methods","","42","2","10.3758/BRM.42.2.474","Manuela L. CameirãoSelene G. Vicente","2010","http://link.springer.com/article/10.3758/BRM.42.2.474","Article"
"Completion norms for final words of sentences using a multiple production measure","Behavior Research Methods, Instruments, & Computers","","18","4","10.3758/BF03204419","Paula J. Schwanenflugel","1986","http://link.springer.com/article/10.3758/BF03204419","Article"
"Subjective frequency norms for 330 Spanish simple and compound words","Behavior Research Methods","","42","1","10.3758/BRM.42.1.109","Alain DesrochersJuana M. LicerasRaquel Fernández-FuertesGlenn L. Thompson","2010","http://link.springer.com/article/10.3758/BRM.42.1.109","Article"
"Word associations: Norms for 1,424 Dutch words in a continuous task","Behavior Research Methods","","40","1","10.3758/BRM.40.1.198","Simon De DeyneGert Storms","2008","http://link.springer.com/article/10.3758/BRM.40.1.198","Article"
"Leipzig Affective Norms for German: A reliability study","Behavior Research Methods","","42","4","10.3758/BRM.42.4.987","Philipp KanskeSonja A. Kotz","2010","http://link.springer.com/article/10.3758/BRM.42.4.987","Article"
"Category norms for verbal items in 25 categories for children in Grades 2–6","Behavior Research Methods & Instrumentation","","10","6","10.3758/BF03205407","Carla J. Posnansky","1978","http://link.springer.com/article/10.3758/BF03205407","Article"
"Children’s emotional norms for 600 French words","Behavior Research Methods","","41","1","10.3758/BRM.41.1.213","Arielle SyssauCatherine Monnier","2009","http://link.springer.com/article/10.3758/BRM.41.1.213","Article"
"Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English","Behavior Research Methods","","41","4","10.3758/BRM.41.4.977","Marc BrysbaertBoris New","2009","http://link.springer.com/article/10.3758/BRM.41.4.977","Article"
"Lexicosemantic, affective, and distributional norms for 1,000 Dutch adjectives","Behavior Research Methods","","","","10.3758/s13428-019-01303-4","Steven VerheyenSimon De DeyneSarah LinsenGert Storms","2019","http://link.springer.com/article/10.3758/s13428-019-01303-4","Article"
"Beyond the abstract—concrete dichotomy: Mode of acquisition, concreteness, imageability, familiarity, age of acquisition, context availability, and abstractness norms for a set of 417 Italian words","Behavior Research Methods","","42","4","10.3758/BRM.42.4.1042","Pasquale A. Della RosaEleonora CatricalàGabriella ViglioccoStefano F. Cappa","2010","http://link.springer.com/article/10.3758/BRM.42.4.1042","Article"
"Cloze probability and completion norms for 498 sentences: Behavioral and neural validation using event-related potentials","Behavior Research Methods","","42","3","10.3758/BRM.42.3.665","Cady K. BlockCarryl L. Baldwin","2010","http://link.springer.com/article/10.3758/BRM.42.3.665","Article"
"Word norms for blind and sighted subjects: Familiarity, concreteness, meaningfulness, imageability, imagery modality, and word associations","Behavior Research Methods, Instruments, & Computers","","23","4","10.3758/BF03209988","Nancy H. KerrThomas H. Johnson","1991","http://link.springer.com/article/10.3758/BF03209988","Article"
"Impact of semantic or phonemic cues in picture-naming tasks on the calculation of the objective age-of-acquisition norms: A cross-linguistic study","Behavior Research Methods","","40","4","10.3758/BRM.40.4.1055","Christine CannardSonia Kandel","2008","http://link.springer.com/article/10.3758/BRM.40.4.1055","Article"
"A standardized set of 260 pictures for Modern Greek: Norms for name agreement, age of acquisition, and visual complexity","Behavior Research Methods","","41","2","10.3758/BRM.41.2.584","María DimitropoulouJon Andoni DuñabeitiaPanagiotis BlitsasManuel Carreiras","2009","http://link.springer.com/article/10.3758/BRM.41.2.584","Article"
