Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A statistical study of authorship in the Corpus Lysiacum","Computers and the Humanities","","16","4","10.1007/BF02263550","S. UsherD. Najock","1982","http://link.springer.com/article/10.1007/BF02263550","Article"
"Branimir Boguraev and James Pustejovsky, Corpus Processing for Lexical Acquisition","Computers and the Humanities","","33","3","10.1023/A:1001853226388","Dominique Estival","1999","http://link.springer.com/article/10.1023/A%3A1001853226388","Article"
"Finding Syntactic Structure in Unparsed Corpora The Gsearch Corpus Query System","Computers and the Humanities","","35","2","10.1023/A:1002497503122","Steffan CorleyMartin CorleyFrank KellerMatthew W. CrockerShari Trewin","2001","http://link.springer.com/article/10.1023/A%3A1002497503122","Article"
"Unleashing the killer corpus: experiences in creating the multi-everything AMI Meeting Corpus","Language Resources and Evaluation","","41","2","10.1007/s10579-007-9040-x","Jean Carletta","2007","http://link.springer.com/article/10.1007/s10579-007-9040-x","Article"
"Historical corpora meet the digital humanities: the Jerusalem Corpus of Emergent Modern Hebrew","Language Resources and Evaluation","","","","10.1007/s10579-019-09458-4","Aynat Rubinstein","2019","http://link.springer.com/article/10.1007/s10579-019-09458-4","Article"
"The undergraduate learner translator corpus: a new resource for translation studies and computational linguistics","Language Resources and Evaluation","","","","10.1007/s10579-019-09472-6","Reem F. Alfuraih","2019","http://link.springer.com/article/10.1007/s10579-019-09472-6","Article"
"On the Corpus Size Needed for Compiling a Comprehensive Computational Lexicon by Automatic Lexical Acquisition","Computers and the Humanities","","36","2","10.1023/A:1014344527505","Dan-Hee YangIk-Hwan LeePascual Cantos","2002","http://link.springer.com/article/10.1023/A%3A1014344527505","Article"
"Choice of grammatical word-class without global syntactic analysis: Tagging words in the lob corpus","Computers and the Humanities","","17","3","10.1007/BF02259886","Ian Marshall","1983","http://link.springer.com/article/10.1007/BF02259886","Article"
"Simplicity matters: user evaluation of the Slovene reference corpus","Language Resources and Evaluation","","53","1","10.1007/s10579-018-9429-8","Špela Arhar HoldtKaja DobrovoljcNataša Logar","2019","http://link.springer.com/article/10.1007/s10579-018-9429-8","Article"
"Studying the history of the Arabic language: language technology and a large-scale historical corpus","Language Resources and Evaluation","","","","10.1007/s10579-019-09460-w","Yonatan BelinkovAlexander MagidowAlberto Barrón-CedeñoAvi ShmidmanMaxim Romanov","2019","http://link.springer.com/article/10.1007/s10579-019-09460-w","Article"
"Practical considerations in the use of TEI headers in a large corpus","Computers and the Humanities","","29","1","10.1007/BF01830318","Dominic Dunlop","1995","http://link.springer.com/article/10.1007/BF01830318","Article"
